imonth,iday,nwound,nkill
7,23,0,12
7,24,0,2
7,25,0,0
7,25,0,0
7,25,0,0
7,26,0,0
7,27,0,2
7,27,8,5
7,27,5,1
7,27,0,7
7,27,0,12
7,27,0,11
7,27,0,0
7,26,0,2
7,27,0,6
7,27,0,4
7,28,7,4
7,28,6,1
7,28,0,0
7,28,12,8
7,28,0,0
7,29,5,5
7,29,0,3
7,30,6,7
7,30,0,0
7,30,1,2
7,31,0,0
7,31,0,0
7,31,0,0
7,31,0,0
8,6,0,10
8,6,0,6
8,6,0,100
8,6,0,0
8,7,0,2
8,7,0,8
8,8,0,0
8,10,0,28
8,14,0,7
8,16,0,3
8,16,0,2
8,16,0,2
8,17,0,6
8,17,0,4
8,18,0,3
8,18,0,6
8,18,0,5
8,18,0,0
8,20,0,0
8,21,0,2
8,21,0,0
8,23,0,3
8,24,0,1
8,25,0,21
8,25,0,3
8,26,3,0
8,25,0,27
8,26,0,0
8,28,0,7
8,28,0,7
8,28,0,3
8,31,0,5
9,1,30,59
9,1,1,40
9,2,0,27
9,2,0,2
9,4,0,0
9,6,0,101
9,7,3,21
9,7,2,24
9,7,0,0
9,7,0,0
9,9,0,0
9,10,0,3
9,12,0,81
9,13,16,41
9,13,0,0
9,14,4,0
9,17,0,201
9,17,34,17
9,17,0,5
9,18,0,4
9,18,1,2
9,19,0,34
9,21,0,0
9,21,0,20
9,21,10,9
9,21,1,11
9,25,0,6
9,25,0,6
9,25,0,6
9,25,0,0
9,26,0,0
9,29,0,20
9,29,0,20
9,30,1,3
10,2,0,24
10,2,0,23
10,2,0,23
10,6,0,7
10,6,0,8
10,6,0,0
10,7,0,0
10,14,0,1
10,15,0,30
10,17,0,30
10,18,0,8
10,18,0,8
10,18,0,0
10,18,0,0
10,18,0,0
10,19,0,0
10,19,0,25
10,19,0,5
10,21,0,1
10,21,0,4
10,22,9,8
10,22,0,0
10,23,0,17
10,23,0,0
10,26,0,5
10,27,0,3
10,29,0,0
10,29,0,0
10,30,0,1
10,31,33,7
11,1,1,1
11,1,0,18
11,2,0,1
11,3,119,31
11,4,0,0
11,4,0,3
11,4,0,2
11,4,0,2
11,4,0,0
11,4,0,2
11,4,0,2
11,4,10,0
11,5,0,0
11,5,0,21
11,6,0,1
11,7,10,8
11,8,0,41
11,9,0,1
11,9,0,1
11,9,0,1
11,9,0,0
11,9,0,0
11,9,0,0
11,10,79,48
11,12,4,1
11,13,0,0
11,13,0,16
11,14,5,7
11,16,60,11
11,16,0,0
11,16,0,0
11,17,0,0
11,18,0,1
11,19,0,45
11,21,0,48
11,24,0,50
11,24,0,10
11,24,0,10
11,25,0,4
11,25,98,65
11,27,7,40
11,27,0,30
11,28,270,122
11,28,0,0
11,29,0,0
11,30,0,1
11,30,0,0
